Age,Gender,Education Level,Occupation,Income,Debt-to-Income Ratio,Net Worth,Investment Amount,Financial Knowledge,Risk Tolerance,Investment Horizon,Market Condition,Interest Rate (%),Inflation Rate (%),Stocks (%),Bonds (%),Gold (%),Real Estate (%)
39,Male,Doctorate,Business Owner,111949,0.03,895592,37524.99,5,10,Long,Bullish,4.48,6.32,55.0,8.0,17.0,20.0
31,Female,Doctorate,Business Owner,384876,0.19,7312644,40040.33,9,2,Short,Bullish,7.55,4.02,27.0,46.0,17.0,10.0
18,Female,Undergraduate,Student,2905,0.2,43575,664.23,1,4,Short,Bullish,8.35,2.68,21.0,44.0,16.0,19.0
50,Male,Graduate,Senior Professional,143621,0.23,1436210,53545.45,8,4,Long,Bullish,5.78,4.72,26.0,49.0,14.0,11.0
74,Female,Graduate,Retired,10379,0.35,41516,1959.6,4,1,Long,Bullish,7.25,6.19,15.0,51.0,12.0,22.0
26,Female,Postgraduate,Freelancer,78611,0.17,864721,12738.31,6,8,Short,Neutral,7.25,3.69,64.0,9.0,11.0,16.0
29,Female,Postgraduate,Freelancer,65847,0.06,526776,9668.25,9,8,Short,Bearish,4.18,3.59,75.0,15.0,14.0,-4.0
40,Male,Doctorate,Business Owner,308759,0.13,3396349,59413.54,8,3,Medium,Bearish,7.84,4.21,22.0,55.0,14.0,9.0
55,Male,Postgraduate,Executive,291569,0.11,2332552,42970.74,6,7,Medium,Neutral,8.12,6.58,32.0,29.0,17.0,22.0
27,Female,Postgraduate,Freelancer,33619,0.34,268952,16454.62,1,5,Long,Neutral,5.97,7.69,41.0,28.0,13.0,18.0
20,Male,Undergraduate,Student,1161,0.34,8127,558.69,2,1,Medium,Neutral,7.62,2.72,14.0,44.0,10.0,32.0
50,Male,Graduate,Executive,756084,0.2,9829092,189136.48,5,8,Short,Bullish,7.65,3.43,78.0,5.0,10.0,7.0
27,Male,Postgraduate,Freelancer,62394,0.22,1060698,19067.37,3,7,Long,Bullish,6.1,4.02,39.0,16.0,17.0,28.0
20,Male,Graduate,Student,3983,0.48,47796,1125.11,2,1,Long,Bearish,7.35,4.25,7.0,55.0,16.0,22.0
22,Male,Graduate,Student,4342,0.43,78156,803.17,2,9,Long,Bullish,8.42,6.11,55.0,8.0,16.0,21.0
68,Female,Graduate,Retired,49376,0.3,444384,22496.18,5,3,Medium,Bullish,8.7,6.68,22.0,45.0,14.0,19.0
55,Female,Graduate,Senior Professional,164869,0.06,1648690,71657.64,8,5,Medium,Bearish,7.54,4.03,30.0,29.0,16.0,25.0
63,Male,Postgraduate,Retired,26568,0.03,106272,13099.25,6,10,Long,Bullish,6.61,3.71,60.0,8.0,12.0,20.0
18,Male,Graduate,Student,5667,0.12,39669,2182.76,6,7,Short,Bearish,4.72,2.5,43.0,45.0,18.0,-6.0
35,Female,Postgraduate,Mid-career,77452,0.2,1161780,34710.58,3,5,Short,Bullish,8.51,2.61,36.0,32.0,18.0,14.0
34,Female,Doctorate,Mid-career,113542,0.22,1930214,33267.68,3,10,Medium,Bullish,8.75,2.13,78.0,7.0,11.0,4.0
41,Female,Graduate,Business Owner,190799,0.06,3434382,66119.92,8,2,Long,Neutral,8.77,6.02,10.0,51.0,19.0,20.0
22,Male,Undergraduate,Student,1543,0.25,27774,714.26,2,1,Short,Bearish,8.0,4.41,13.0,53.0,14.0,20.0
52,Female,Postgraduate,Executive,386654,0.11,3866540,91137.28,7,2,Short,Neutral,4.66,7.94,19.0,42.0,15.0,24.0
36,Female,Postgraduate,Business Owner,290858,0.12,4362870,55997.72,9,2,Long,Bullish,8.74,7.71,34.0,50.0,15.0,1.0
28,Male,Graduate,Freelancer,89081,0.15,89081,25461.0,5,10,Short,Bearish,6.93,4.21,63.0,18.0,12.0,7.0
42,Male,Doctorate,Mid-career,141799,0.07,1843387,64344.62,7,4,Long,Bullish,6.83,5.02,33.0,44.0,10.0,13.0
27,Female,Graduate,Freelancer,46383,0.48,139149,8592.08,2,2,Short,Bullish,4.96,4.77,17.0,47.0,17.0,19.0
24,Female,Graduate,Entry-level,20775,0.18,415500,6084.98,4,4,Long,Bullish,5.43,5.64,29.0,51.0,10.0,10.0
35,Male,Postgraduate,Mid-career,135501,0.16,1219509,51411.89,3,2,Short,Bullish,4.62,5.77,23.0,44.0,14.0,19.0
20,Female,Undergraduate,Student,9245,0.42,129430,3846.82,1,8,Short,Bullish,4.58,6.62,70.0,1.0,15.0,14.0
31,Male,Graduate,Mid-career,110118,0.23,1982124,27121.5,8,5,Medium,Bullish,6.48,4.24,44.0,30.0,11.0,15.0
